id,pic_id,age,male,college,orientation,friend_request,char_positivity,char_outgoing,char_open,char_friendly,char_discipline,char_social,char_economic,rating,face,nose,eyes,mouth,overall_feature,skin,hair,color,acne,glasses,double_eyelid,thick_eyebrow,thick_lip,face_shape,long_hair
1,1,22,0,3,1,4,2,3,4,3,4,4,4,8,4,4,4,4,4,4,4,black,0,0,1,0,0,long,1
1,2,22,0,3,1,2,2,4,2,2,5,4,4,3,2,2,2,2,2,2,2,healthy,0,1,0,1,0,square,0
1,3,22,0,3,1,3,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,healthy,0,0,0,0,0,square,0
1,4,22,0,3,1,1,2,2,2,2,4,3,3,2,2,2,2,2,2,2,4,fair,0,1,1,0,0,long,0
1,5,22,0,3,1,3,4,5,4,5,4,4,4,9,4,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
1,6,22,0,3,1,1,3,3,4,4,2,3,3,4,3,3,2,3,3,3,3,healthy,0,0,0,0,0,long,1
2,7,22,0,3,1,1,3,2,5,4,2,2,3,4,2,4,3,3,3,2,2,healthy,1,1,1,1,1,square,0
2,8,22,0,3,1,4,3,4,4,5,4,4,4,8,4,3,5,5,5,4,5,healthy,0,0,1,0,0,square,0
2,9,22,0,3,1,1,2,3,4,3,2,3,3,3,2,4,2,2,2,3,1,black,1,0,0,1,1,square,1
2,10,22,0,3,1,3,4,5,3,4,3,3,3,6,4,2,4,4,3,5,3,fair,0,0,1,0,0,round,1
2,11,22,0,3,1,2,4,4,2,5,2,2,2,4,3,2,2,2,2,3,3,healthy,0,0,1,0,1,round,1
2,12,22,0,3,1,3,5,4,3,3,3,3,3,7,2,3,4,3,4,4,4,fair,0,0,1,0,0,long,0
3,1,22,1,5,1,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,black,0,0,1,0,0,long,1
3,2,22,1,5,1,1,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,healthy,0,1,0,1,0,square,0
3,3,22,1,5,1,1,2,3,3,2,3,4,4,3,3,4,3,2,3,2,2,healthy,0,0,0,0,0,square,0
3,4,22,1,5,1,1,3,3,3,3,2,3,3,3,2,2,2,2,2,4,3,fair,0,1,1,0,0,long,0
3,5,22,1,5,1,2,3,3,3,3,3,3,3,4,2,2,3,3,3,3,2,fair,0,0,1,0,0,round,1
3,6,22,1,5,1,1,2,4,2,2,2,2,2,3,2,2,2,2,2,4,4,healthy,0,0,0,0,0,long,1
4,7,21,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,healthy,1,1,1,1,1,square,0
4,8,21,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,healthy,0,0,1,0,0,square,0
4,9,21,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,black,1,0,0,1,1,square,1
4,10,21,1,5,1,4,5,5,5,5,5,5,5,10,5,5,5,5,5,5,5,fair,0,0,1,0,0,round,1
4,11,21,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,healthy,0,0,1,0,1,round,1
4,12,21,1,5,1,4,5,5,5,5,5,5,5,10,5,5,4,5,5,5,5,fair,0,0,1,0,0,long,0
5,7,20,1,3,1,1,2,3,1,2,1,2,2,3,3,3,4,1,2,1,2,healthy,1,1,1,1,1,square,0
5,8,20,1,3,1,3,3,4,3,4,3,3,3,7,4,4,4,5,4,5,4,healthy,0,0,1,0,0,square,0
5,9,20,1,3,1,1,2,1,4,2,2,2,2,5,4,4,1,2,2,3,2,black,1,0,0,1,1,square,1
5,10,20,1,3,1,3,3,3,2,4,2,3,3,6,4,3,2,4,3,4,4,fair,0,0,1,0,0,round,1
5,11,20,1,3,1,1,3,3,4,3,3,2,2,4,3,3,2,2,2,3,3,healthy,0,0,1,0,1,round,1
5,12,20,1,3,1,3,3,4,3,3,3,3,3,6,4,2,3,3,3,4,3,fair,0,0,1,0,0,long,0
6,1,27,0,1,1,1,2,1,4,3,4,3,2,6,3,4,4,4,4,3,1,black,0,0,1,0,0,long,1
6,2,27,0,1,1,2,4,4,3,3,3,3,3,5,3,3,3,3,3,3,3,healthy,0,1,0,1,0,square,0
6,3,27,0,1,1,3,3,3,3,3,3,5,5,5,3,3,3,2,3,3,3,healthy,0,0,0,0,0,square,0
6,4,27,0,1,1,2,3,2,2,2,3,3,3,4,4,3,3,4,3,4,2,fair,0,1,1,0,0,long,0
6,5,27,0,1,1,4,3,4,4,4,2,3,3,6,3,3,3,3,3,3,4,fair,0,0,1,0,0,round,1
6,6,27,0,1,1,1,3,2,2,1,3,3,3,4,3,3,3,3,3,3,4,healthy,0,0,0,0,0,long,1
7,7,19,1,3,1,2,3,2,2,3,5,3,3,5,3,3,3,3,3,2,2,healthy,1,1,1,1,1,square,0
7,8,19,1,3,1,4,5,5,5,5,3,4,4,10,5,5,5,5,5,5,5,healthy,0,0,1,0,0,square,0
7,9,19,1,3,1,1,2,3,3,2,2,2,2,2,3,3,2,3,3,3,1,black,1,0,0,1,1,square,1
7,10,19,1,3,1,1,2,4,4,3,1,4,4,5,3,3,2,2,3,4,1,fair,0,0,1,0,0,round,1
7,11,19,1,3,1,2,5,5,5,5,3,3,2,6,3,2,3,2,3,3,2,healthy,0,0,1,0,1,round,1
7,12,19,1,3,1,2,4,4,4,4,4,4,4,8,4,5,5,4,4,5,4,fair,0,0,1,0,0,long,0
8,1,24,0,7,1,3,3,4,5,2,4,3,4,6,4,3,4,4,4,4,2,black,0,0,1,0,0,long,1
8,2,24,0,7,1,2,5,5,3,4,4,2,2,5,3,3,4,4,3,3,3,healthy,0,1,0,1,0,square,0
8,3,24,0,7,1,4,3,3,3,3,5,5,5,9,4,4,3,4,4,4,3,healthy,0,0,0,0,0,square,0
8,4,24,0,7,1,2,3,2,2,2,4,3,3,5,4,3,3,4,3,4,3,fair,0,1,1,0,0,long,0
8,5,24,0,7,1,2,2,2,5,2,3,3,4,8,3,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
8,6,24,0,7,1,2,2,2,2,3,4,4,3,4,3,3,2,3,2,3,3,healthy,0,0,0,0,0,long,1
9,7,21,0,6,1,1,3,2,2,3,2,3,3,3,4,3,1,1,2,3,3,healthy,1,1,1,1,1,square,0
9,8,21,0,6,1,3,4,4,4,3,4,3,3,7,3,3,4,4,4,5,3,healthy,0,0,1,0,0,square,0
9,9,21,0,6,1,2,3,2,4,2,2,3,3,5,3,4,3,3,3,4,3,black,1,0,0,1,1,square,1
9,10,21,0,6,1,3,5,5,5,5,5,3,3,8,4,3,4,4,4,4,4,fair,0,0,1,0,0,round,1
9,11,21,0,6,1,1,3,5,3,4,3,3,3,5,4,3,2,3,3,3,3,healthy,0,0,1,0,1,round,1
9,12,21,0,6,1,3,4,5,3,4,4,3,4,7,4,3,3,3,4,4,3,fair,0,0,1,0,0,long,0
10,1,22,1,5,1,3,2,3,3,3,2,3,4,8,3,4,5,2,4,4,5,black,0,0,1,0,0,long,1
10,2,22,1,5,1,2,4,3,3,3,4,3,4,6,3,3,3,3,3,4,3,healthy,0,1,0,1,0,square,0
10,3,22,1,5,1,3,4,4,2,4,4,2,2,8,4,5,3,3,4,5,5,healthy,0,0,0,0,0,square,0
10,4,22,1,5,1,2,3,3,4,3,3,3,4,7,4,3,3,4,3,4,4,fair,0,1,1,0,0,long,0
10,5,22,1,5,1,4,3,2,3,2,3,3,4,9,5,5,5,3,5,4,4,fair,0,0,1,0,0,round,1
10,6,22,1,5,1,2,4,3,3,3,2,3,3,6,4,3,3,3,3,4,5,healthy,0,0,0,0,0,long,1
11,7,21,0,4,1,1,2,4,4,3,2,3,2,3,2,4,3,2,2,3,2,healthy,1,1,1,1,1,square,0
11,8,21,0,4,1,2,4,4,4,2,3,4,4,7,4,3,2,4,4,5,3,healthy,0,0,1,0,0,square,0
11,9,21,0,4,1,1,3,1,2,1,4,3,3,5,2,4,1,3,2,4,2,black,1,0,0,1,1,square,1
11,10,21,0,4,1,2,5,4,3,4,3,4,4,8,4,3,4,2,4,4,4,fair,0,0,1,0,0,round,1
11,11,21,0,4,1,2,4,4,2,3,2,3,3,6,3,3,4,3,3,3,2,healthy,0,0,1,0,1,round,1
11,12,21,0,4,1,2,5,5,4,4,5,5,4,8,4,3,3,2,4,4,5,fair,0,0,1,0,0,long,0
12,1,20,1,3,1,3,4,3,3,3,2,3,4,7,3,3,3,2,3,3,4,black,0,0,1,0,0,long,1
12,2,20,1,3,1,2,4,4,4,4,4,4,4,5,3,2,2,2,3,3,1,healthy,0,1,0,1,0,square,0
12,3,20,1,3,1,3,4,2,3,3,4,4,4,8,4,4,4,2,4,3,4,healthy,0,0,0,0,0,square,0
12,4,20,1,3,1,2,2,3,2,2,2,3,3,4,3,2,2,2,2,3,4,fair,0,1,1,0,0,long,0
12,5,20,1,3,1,2,4,3,2,2,1,1,2,6,2,3,3,2,3,3,4,fair,0,0,1,0,0,round,1
12,6,20,1,3,1,2,4,4,4,4,2,3,4,5,3,3,2,2,2,3,3,healthy,0,0,0,0,0,long,1
13,7,20,0,A,1,2,3,2,4,3,3,3,3,5,3,3,4,3,3,2,2,healthy,1,1,1,1,1,square,0
13,8,20,0,A,1,3,4,3,3,4,4,4,3,9,4,4,4,4,5,5,4,healthy,0,0,1,0,0,square,0
13,9,20,0,A,1,2,3,2,2,2,3,3,3,6,3,4,4,3,3,4,2,black,1,0,0,1,1,square,1
13,10,20,0,A,1,3,4,4,4,4,4,3,3,8,4,4,4,4,4,5,4,fair,0,0,1,0,0,round,1
13,11,20,0,A,1,3,4,5,5,4,3,3,3,7,4,3,4,3,3,4,3,healthy,0,0,1,0,1,round,1
13,12,20,0,A,1,3,4,4,4,3,3,3,3,9,4,5,5,5,4,5,3,fair,0,0,1,0,0,long,0
14,1,25,1,9,1,2,3,2,2,3,5,4,5,8,4,4,4,4,4,3,4,black,0,0,1,0,0,long,1
14,2,25,1,9,1,1,5,5,5,1,5,4,5,7,3,4,3,4,4,4,4,healthy,0,1,0,1,0,square,0
14,3,25,1,9,1,2,5,5,4,3,5,5,5,9,5,5,5,5,5,5,5,healthy,0,0,0,0,0,square,0
14,4,25,1,9,1,3,4,4,2,3,4,4,4,8,4,4,4,4,4,4,4,fair,0,1,1,0,0,long,0
14,5,25,1,9,1,2,3,3,3,2,4,5,4,7,4,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
14,6,25,1,9,1,2,3,3,4,3,4,4,4,8,4,4,4,4,4,4,4,healthy,0,0,0,0,0,long,1
15,7,24,1,3,1,1,4,4,4,4,4,4,4,3,4,4,3,2,2,2,4,healthy,1,1,1,1,1,square,0
15,8,24,1,3,1,3,5,5,4,5,3,3,3,8,4,4,4,4,4,4,4,healthy,0,0,1,0,0,square,0
15,9,24,1,3,1,1,2,4,3,5,4,3,3,3,3,3,3,3,2,4,4,black,1,0,0,1,1,square,1
15,10,24,1,3,1,3,4,3,4,4,4,4,4,5,3,3,3,3,3,3,3,fair,0,0,1,0,0,round,1
15,11,24,1,3,1,1,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,healthy,0,0,1,0,1,round,1
15,12,24,1,3,1,4,5,5,5,5,5,5,5,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,long,0
16,7,23,1,4,2,2,3,2,2,3,3,3,3,6,4,4,2,2,3,2,4,healthy,1,1,1,1,1,square,0
16,8,23,1,4,2,4,5,4,3,3,3,3,4,9,4,4,4,4,4,4,3,healthy,0,0,1,0,0,square,0
16,9,23,1,4,2,2,3,3,4,3,3,3,3,6,4,4,2,3,3,4,1,black,1,0,0,1,1,square,1
16,10,23,1,4,2,3,4,3,4,4,4,3,4,7,4,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
16,11,23,1,4,2,1,4,4,3,4,3,3,3,5,3,2,3,3,2,3,2,healthy,0,0,1,0,1,round,1
16,12,23,1,4,2,2,4,3,2,3,3,3,3,6,3,4,3,2,3,4,3,fair,0,0,1,0,0,long,0
17,1,20,0,3,1,3,2,1,3,3,3,3,4,8,3,4,5,5,5,3,3,black,0,0,1,0,0,long,1
17,2,20,0,3,1,1,3,4,1,4,3,3,3,4,3,2,2,2,3,3,3,healthy,0,1,0,1,0,square,0
17,3,20,0,3,1,3,3,1,1,4,4,4,4,7,4,3,3,3,4,4,4,healthy,0,0,0,0,0,square,0
17,4,20,0,3,1,3,3,3,2,3,3,3,3,7,4,2,2,4,4,4,3,fair,0,1,1,0,0,long,0
17,5,20,0,3,1,4,2,2,2,3,3,3,3,8,4,2,4,4,4,3,4,fair,0,0,1,0,0,round,1
17,6,20,0,3,1,3,3,3,3,3,3,3,3,7,4,2,2,2,4,3,3,healthy,0,0,0,0,0,long,1
18,7,23,1,3,1,1,4,3,3,4,3,3,4,6,4,3,3,3,3,2,2,healthy,1,1,1,1,1,square,0
18,8,23,1,3,1,2,4,4,4,5,4,4,4,8,4,4,5,4,4,4,4,healthy,0,0,1,0,0,square,0
18,9,23,1,3,1,1,3,2,3,3,3,3,3,4,2,3,2,2,2,3,2,black,1,0,0,1,1,square,1
18,10,23,1,3,1,2,4,4,3,3,3,4,3,7,3,3,3,4,3,4,3,fair,0,0,1,0,0,round,1
18,11,23,1,3,1,1,4,5,4,4,3,3,3,5,3,4,3,2,3,4,3,healthy,0,0,1,0,1,round,1
18,12,23,1,3,1,3,5,4,3,3,4,4,4,7,4,4,4,3,3,4,4,fair,0,0,1,0,0,long,0
19,7,24,1,6,1,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,healthy,1,1,1,1,1,square,0
19,8,24,1,6,1,3,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,healthy,0,0,1,0,0,square,0
19,9,24,1,6,1,3,4,4,4,4,4,4,4,5,3,4,3,4,3,4,3,black,1,0,0,1,1,square,1
19,10,24,1,6,1,2,3,3,3,3,3,3,3,5,4,3,4,3,4,3,4,fair,0,0,1,0,0,round,1
19,11,24,1,6,1,2,4,3,4,4,3,4,3,6,3,4,3,4,3,4,3,healthy,0,0,1,0,1,round,1
19,12,24,1,6,1,3,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,long,0
20,1,22,0,7,1,2,2,3,4,2,3,4,3,7,4,5,5,2,4,4,2,black,0,0,1,0,0,long,1
20,2,22,0,7,1,1,5,5,2,4,4,4,4,2,3,2,2,2,2,4,1,healthy,0,1,0,1,0,square,0
20,3,22,0,7,1,2,4,5,3,4,3,5,5,5,4,4,2,4,3,4,4,healthy,0,0,0,0,0,square,0
20,4,22,0,7,1,3,5,5,3,4,4,4,5,8,4,3,2,5,3,5,4,fair,0,1,1,0,0,long,0
20,5,22,0,7,1,2,2,2,3,2,4,4,4,6,2,4,2,4,3,4,3,fair,0,0,1,0,0,round,1
20,6,22,0,7,1,2,2,4,2,1,4,3,2,5,3,2,2,4,3,4,3,healthy,0,0,0,0,0,long,1
21,7,23,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,healthy,1,1,1,1,1,square,0
21,8,23,1,3,1,3,5,4,4,4,5,3,3,8,5,5,5,5,5,5,5,healthy,0,0,1,0,0,square,0
21,9,23,1,3,1,2,3,3,3,2,3,1,2,5,4,3,4,2,2,2,3,black,1,0,0,1,1,square,1
21,10,23,1,3,1,4,5,5,5,5,5,3,3,8,5,3,5,5,5,5,3,fair,0,0,1,0,0,round,1
21,11,23,1,3,1,2,5,5,4,5,4,3,3,5,5,3,3,3,3,3,2,healthy,0,0,1,0,1,round,1
21,12,23,1,3,1,4,5,5,5,5,5,4,4,9,5,5,5,5,5,5,5,fair,0,0,1,0,0,long,0
22,1,23,1,3,1,3,5,5,4,3,3,3,3,8,4,4,4,4,4,4,5,black,0,0,1,0,0,long,1
22,2,23,1,3,1,2,3,3,4,3,2,3,3,4,3,3,2,2,4,4,3,healthy,0,1,0,1,0,square,0
22,3,23,1,3,1,3,4,4,3,4,3,4,4,8,5,4,4,4,4,4,4,healthy,0,0,0,0,0,square,0
22,4,23,1,3,1,4,3,4,4,4,3,3,3,8,4,2,4,4,4,4,4,fair,0,1,1,0,0,long,0
22,5,23,1,3,1,2,5,4,2,3,4,4,4,6,3,2,3,2,4,4,3,fair,0,0,1,0,0,round,1
22,6,23,1,3,1,2,5,4,3,3,3,3,3,5,3,3,2,2,3,3,3,healthy,0,0,0,0,0,long,1
23,7,20,0,6,3,2,4,3,3,4,2,3,3,4,4,4,4,2,3,2,2,healthy,1,1,1,1,1,square,0
23,8,20,0,6,3,4,5,5,3,5,4,3,3,7,5,5,5,5,5,5,5,healthy,0,0,1,0,0,square,0
23,9,20,0,6,3,1,2,2,3,2,3,3,3,2,2,3,2,2,2,3,1,black,1,0,0,1,1,square,1
23,10,20,0,6,3,3,5,5,3,5,5,3,3,6,3,3,4,3,4,4,3,fair,0,0,1,0,0,round,1
23,11,20,0,6,3,3,5,5,3,5,4,3,3,5,3,3,5,3,4,4,4,healthy,0,0,1,0,1,round,1
23,12,20,0,6,3,4,5,5,3,5,5,4,3,8,4,4,5,4,4,4,4,fair,0,0,1,0,0,long,0
24,7,20,0,6,3,2,3,2,2,3,3,3,3,5,3,3,3,3,3,3,3,healthy,1,1,1,1,1,square,0
24,8,20,0,6,3,3,4,4,3,3,3,3,3,8,3,4,4,3,4,3,3,healthy,0,0,1,0,0,square,0
24,9,20,0,6,3,1,2,3,3,2,2,2,2,5,3,2,3,3,3,3,3,black,1,0,0,1,1,square,1
24,10,20,0,6,3,3,3,3,2,3,3,3,3,7,4,4,3,3,4,4,4,fair,0,0,1,0,0,round,1
24,11,20,0,6,3,2,3,3,3,3,2,2,3,6,3,3,3,3,3,3,4,healthy,0,0,1,0,1,round,1
24,12,20,0,6,3,3,3,2,2,2,3,3,3,6,3,4,4,4,3,4,3,fair,0,0,1,0,0,long,0
25,7,23,1,3,1,3,4,4,3,3,4,4,4,7,3,4,2,3,4,2,4,healthy,1,1,1,1,1,square,0
25,8,23,1,3,1,3,5,5,4,4,3,4,5,8,4,4,3,4,4,5,4,healthy,0,0,1,0,0,square,0
25,9,23,1,3,1,3,4,3,3,3,4,3,4,5,4,3,2,3,3,4,4,black,1,0,0,1,1,square,1
25,10,23,1,3,1,4,5,3,2,4,3,4,3,8,4,4,3,4,5,4,4,fair,0,0,1,0,0,round,1
25,11,23,1,3,1,3,5,5,3,4,3,4,4,7,3,4,3,4,4,3,2,healthy,0,0,1,0,1,round,1
25,12,23,1,3,1,4,5,4,4,3,4,5,5,9,4,4,3,3,4,4,5,fair,0,0,1,0,0,long,0
26,7,19,0,4,4,1,1,1,3,2,1,2,3,3,1,1,1,1,1,1,1,healthy,1,1,1,1,1,square,0
26,8,19,0,4,4,2,4,5,4,4,4,3,3,7,4,4,4,4,4,4,4,healthy,0,0,1,0,0,square,0
26,9,19,0,4,4,1,2,4,3,3,3,2,3,5,3,3,3,3,3,2,1,black,1,0,0,1,1,square,1
26,10,19,0,4,4,2,4,4,4,4,2,3,3,6,3,3,3,3,3,3,2,fair,0,0,1,0,0,round,1
26,11,19,0,4,4,1,5,5,4,4,2,3,3,6,3,3,3,3,3,3,3,healthy,0,0,1,0,1,round,1
26,12,19,0,4,4,3,4,4,4,4,4,4,4,7,4,4,4,4,4,4,3,fair,0,0,1,0,0,long,0
27,1,21,0,3,1,4,3,4,4,5,2,1,3,8,3,3,4,3,4,4,5,black,0,0,1,0,0,long,1
27,2,21,0,3,1,1,5,2,1,2,4,4,3,4,3,3,2,5,3,4,1,healthy,0,1,0,1,0,square,0
27,3,21,0,3,1,2,3,2,1,3,5,5,5,6,4,5,4,3,4,5,4,healthy,0,0,0,0,0,square,0
27,4,21,0,3,1,2,2,3,1,2,4,3,3,6,4,3,4,5,4,5,4,fair,0,1,1,0,0,long,0
27,5,21,0,3,1,3,2,3,4,4,3,3,3,8,5,5,4,4,4,5,4,fair,0,0,1,0,0,round,1
27,6,21,0,3,1,2,2,1,1,2,3,1,1,6,3,4,3,3,3,4,2,healthy,0,0,0,0,0,long,1
28,1,23,1,3,1,2,3,2,1,1,3,3,3,7,4,4,3,3,4,4,3,black,0,0,1,0,0,long,1
28,2,23,1,3,1,1,1,2,2,2,4,4,4,4,2,2,2,2,2,2,1,healthy,0,1,0,1,0,square,0
28,3,23,1,3,1,2,5,4,2,4,4,4,4,7,4,4,3,3,4,4,4,healthy,0,0,0,0,0,square,0
28,4,23,1,3,1,3,4,4,4,4,3,3,3,8,4,3,4,4,4,5,4,fair,0,1,1,0,0,long,0
28,5,23,1,3,1,2,5,5,5,2,3,5,5,6,3,3,3,4,3,3,2,fair,0,0,1,0,0,round,1
28,6,23,1,3,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,healthy,0,0,0,0,0,long,1
29,7,20,1,6,2,1,2,3,3,1,2,2,2,3,3,3,2,1,2,1,2,healthy,1,1,1,1,1,square,0
29,8,20,1,6,2,4,5,4,4,3,3,5,4,9,4,4,4,4,4,4,4,healthy,0,0,1,0,0,square,0
29,9,20,1,6,2,1,2,3,3,3,2,2,2,2,2,3,2,1,2,1,1,black,1,0,0,1,1,square,1
29,10,20,1,6,2,2,4,4,4,5,3,5,4,6,4,4,4,4,4,3,3,fair,0,0,1,0,0,round,1
29,11,20,1,6,2,2,5,5,5,5,4,4,4,5,3,3,3,4,3,3,4,healthy,0,0,1,0,1,round,1
29,12,20,1,6,2,2,5,5,5,5,5,5,4,7,3,3,3,3,3,4,4,fair,0,0,1,0,0,long,0
30,1,22,1,6,1,2,2,3,4,1,1,2,4,6,3,4,2,3,3,2,4,black,0,0,1,0,0,long,1
30,2,22,1,6,1,1,5,3,3,1,4,3,3,4,2,2,3,1,1,4,1,healthy,0,1,0,1,0,square,0
30,3,22,1,6,1,2,1,2,2,4,4,4,3,5,2,3,1,2,3,1,3,healthy,0,0,0,0,0,square,0
30,4,22,1,6,1,2,4,4,3,5,3,3,4,6,3,3,3,3,3,5,3,fair,0,1,1,0,0,long,0
30,5,22,1,6,1,3,2,4,3,2,4,5,4,6,3,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
30,6,22,1,6,1,2,2,3,2,2,2,2,3,5,2,2,1,2,3,4,3,healthy,0,0,0,0,0,long,1
31,1,18,1,5,1,3,2,3,5,3,3,2,3,8,4,4,4,3,4,3,5,black,0,0,1,0,0,long,1
31,2,18,1,5,1,2,4,3,2,3,5,5,5,5,3,3,3,2,3,4,3,healthy,0,1,0,1,0,square,0
31,3,18,1,5,1,2,4,4,3,3,4,5,5,10,4,4,5,4,4,4,5,healthy,0,0,0,0,0,square,0
31,4,18,1,5,1,4,3,3,3,3,4,4,4,8,4,4,3,3,4,4,5,fair,0,1,1,0,0,long,0
